,Draft Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
204,2011,55,BOS,E'Twaun Moore,Purdue University,8,515,11155,4144,1032,937,.458,.392,.744,21.7,8.0,2.0,1.8,13.5,.058,-1.8,0.7
205,2011,56,LAL,Chukwudiebere Maduabum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2011,57,DAL,Targuy Ngombo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2011,58,LAL,Ater Majok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2011,59,SAS,Adam Hanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2011,60,SAC,Isaiah Thomas,University of Washington,8,485,14257,9020,1220,2453,.437,.360,.874,29.4,18.6,2.5,5.1,45.3,.152,1.9,13.9
210,2012,31,CHA,Jeff Taylor,Vanderbilt University,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-3.9,-1.2
211,2012,32,WAS,Tomas Satoransky,0,3,210,4526,1387,595,777,.489,.400,.792,21.6,6.6,2.8,3.7,10.3,.109,-0.3,1.9
212,2012,33,CLE,Bernard James,Florida State University,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.1,0.2
213,2012,34,CLE,Jae Crowder,Marquette University,7,543,13153,5137,2121,770,.423,.339,.778,24.2,9.5,3.9,1.4,28.7,.105,0.6,8.8
214,2012,35,GSW,Draymond Green,Michigan State University,7,533,14979,4825,3700,2589,.439,.323,.706,28.1,9.1,6.9,4.9,43.3,.139,3.7,21.5
215,2012,36,SAC,Orlando Johnson,"University of California, Santa Barbara",3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-3.8,-0.5
216,2012,37,TOR,Quincy Acy,Baylor University,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-1.8,0.2
217,2012,38,DEN,Quincy Miller,Baylor University,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-4.0,-0.5
218,2012,39,DET,Khris Middleton,Texas A&M University,7,455,14429,7129,2022,1468,.451,.388,.870,31.7,15.7,4.4,3.2,31.0,.103,0.2,8.0
219,2012,40,POR,Will Barton,University of Memphis,7,438,10194,4618,1724,1036,.431,.341,.788,23.3,10.5,3.9,2.4,16.4,.077,-0.7,3.4
220,2012,41,POR,Tyshawn Taylor,University of Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.8,-0.8
221,2012,42,MIL,Doron Lamb,University of Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.9,-1.2
222,2012,43,ATL,Mike Scott,University of Virginia,7,436,7123,3115,1359,403,.464,.364,.755,16.3,7.1,3.1,0.9,13.3,.089,-2.4,-0.8
223,2012,44,DET,Kim English,University of Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
224,2012,45,PHI,Justin Hamilton,Louisiana State University,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.3,0.8
225,2012,46,NOH,Darius Miller,University of Kentucky,5,253,5161,1524,423,346,.418,.382,.830,20.4,6.0,1.7,1.4,5.9,.055,-1.7,0.4
226,2012,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,0,3.1,0.9,0.2,0.1,-0.3,-.272,-17.6,-0.2
227,2012,48,NYK,Kostas Papanikolaou,0,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.8,-0.2
228,2012,49,ORL,Kyle O'Quinn,Norfolk State University,7,443,6401,2466,2050,592,.518,.209,.748,14.4,5.6,4.6,1.3,16.8,.126,1.8,6.2
229,2012,50,DEN,Izzet Turkyilmaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2012,51,BOS,Kris Joseph,Syracuse University,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-10.5,-0.1
231,2012,52,GSW,Ognjen Kuzmic,0,2,37,164,35,38,8,.520,0,.600,4.4,0.9,1.0,0.2,0.2,.061,-2.5,0.0
232,2012,53,LAC,Furkan Aldemir,0,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-0.7,0.2
233,2012,54,PHI,Tornike Shengelia,0,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-6.6,-0.3
234,2012,55,DAL,Darius Johnson-Odom,Marquette University,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-23.2,-0.1
235,2012,56,TOR,Tomislav Zubcic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2012,57,NJN,Ilkan Karaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2012,58,MIN,Robbie Hummel,Purdue University,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-2.9,-0.3
238,2012,59,SAS,Marcus Denmon,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2012,60,LAL,Robert Sacre,Gonzaga University,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-3.1,-0.8
240,2013,31,CLE,Allen Crabbe,University of California,6,344,8472,3281,996,401,.429,.393,.835,24.6,9.5,2.9,1.2,13.8,.078,-1.0,2.0
241,2013,32,OKC,Alex Abrines,0,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-2.6,-0.4
242,2013,33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-4.7,0.0
